vocabulary size: 137
n tunes: 23638
n train tunes: 18902.0
n validation tunes: 4736.0
min, max length 2 1954
Building the model
number of parameters: 3781513
Train model
1/29534 (epoch 0.003) train_loss=4.89000893 time/batch=0.26s
2/29534 (epoch 0.007) train_loss=4.92421246 time/batch=0.41s
3/29534 (epoch 0.010) train_loss=4.82217026 time/batch=0.81s
4/29534 (epoch 0.014) train_loss=3.90919542 time/batch=0.44s
5/29534 (epoch 0.017) train_loss=3.67496729 time/batch=0.84s
6/29534 (epoch 0.020) train_loss=3.82665658 time/batch=1.13s
7/29534 (epoch 0.024) train_loss=3.44750834 time/batch=0.23s
8/29534 (epoch 0.027) train_loss=3.49587226 time/batch=0.22s
9/29534 (epoch 0.030) train_loss=3.51072264 time/batch=0.41s
10/29534 (epoch 0.034) train_loss=3.51597953 time/batch=1.19s
11/29534 (epoch 0.037) train_loss=3.39931107 time/batch=0.49s
12/29534 (epoch 0.041) train_loss=3.39587164 time/batch=0.69s
13/29534 (epoch 0.044) train_loss=3.40263700 time/batch=1.88s
14/29534 (epoch 0.047) train_loss=3.28849316 time/batch=0.18s
15/29534 (epoch 0.051) train_loss=3.33528709 time/batch=0.57s
16/29534 (epoch 0.054) train_loss=3.25447893 time/batch=0.28s
17/29534 (epoch 0.058) train_loss=3.39560723 time/batch=1.95s
18/29534 (epoch 0.061) train_loss=3.22011805 time/batch=0.31s
19/29534 (epoch 0.064) train_loss=3.45724463 time/batch=2.29s
20/29534 (epoch 0.068) train_loss=3.29192877 time/batch=0.20s
21/29534 (epoch 0.071) train_loss=3.42251492 time/batch=2.50s
22/29534 (epoch 0.074) train_loss=3.27752256 time/batch=0.97s
23/29534 (epoch 0.078) train_loss=3.24496794 time/batch=0.65s
24/29534 (epoch 0.081) train_loss=3.21098042 time/batch=0.24s
25/29534 (epoch 0.085) train_loss=3.43002129 time/batch=0.91s
26/29534 (epoch 0.088) train_loss=3.27131033 time/batch=0.62s
27/29534 (epoch 0.091) train_loss=3.25060964 time/batch=1.00s
28/29534 (epoch 0.095) train_loss=3.26429892 time/batch=0.94s
29/29534 (epoch 0.098) train_loss=3.23675084 time/batch=0.69s
30/29534 (epoch 0.102) train_loss=3.26128769 time/batch=0.30s
31/29534 (epoch 0.105) train_loss=3.25029516 time/batch=0.72s
32/29534 (epoch 0.108) train_loss=3.28295565 time/batch=1.22s
33/29534 (epoch 0.112) train_loss=3.27201557 time/batch=0.50s
34/29534 (epoch 0.115) train_loss=3.33308959 time/batch=5.22s
35/29534 (epoch 0.119) train_loss=3.24550915 time/batch=0.59s
36/29534 (epoch 0.122) train_loss=3.11371946 time/batch=0.33s
37/29534 (epoch 0.125) train_loss=3.19554853 time/batch=0.43s
38/29534 (epoch 0.129) train_loss=3.30078554 time/batch=0.39s
39/29534 (epoch 0.132) train_loss=3.22722840 time/batch=0.54s
